;NB;C45;SVML;SVMQ;BN;RandF;RotF;MLP;Euclidean_1NN;DTW_R1_1NN;DTW_Rn_1NN;DDTW_R1_1NN;DDTW_Rn_1NN;ERP_1NN;LCSS_1NN;MSM_1NN;TWE_1NN;WDDTW_1NN;WDTW_1NN;DD_DTW;DTD_C;DTW_F;ST;LS;FS;BoP;SAXVSM;BOSS;TSF;TSBF;LPS;ACF;PS;EE;COTE;CID_DTW
CricketX;0.37948717948717947;0.2743589743589744;0.38974358974358975;0.4846153846153846;0.3128205128205128;0.5871794871794872;0.6333333333333333;0.5051282051282051;0.576923077;0.753846154;0.779487179;0.630769231;0.630769231;0.764102564;0.730769231;0.764102564;0.748717949;0.641025641;0.78974359;0.7538461538461538;0.753846154;0.764102564;0.7717948717948718;0.7410256410256411;0.484615;0.5769230769230769;0.7384615384615385;0.735897435897436;0.6641025641025641;0.7051282051282052;0.6974358974358974;0.5666666666666667;0.5692307692307692;0.8128205128205128;0.807692308;0.7769230769230769
CricketY;0.39487179487179486;0.3282051282051282;0.45897435897435895;0.46153846153846156;0.28717948717948716;0.6102564102564103;0.6102564102564103;0.5256410256410257;0.566666667;0.743589744;0.756410256;0.558974359;0.561538462;0.730769231;0.787179487;0.771794872;0.753846154;0.582051282;0.758974359;0.7769230769230769;0.774358974;0.779487179;0.7794871794871795;0.717948717948718;0.530769;0.6333333333333333;0.6153846153846154;0.7538461538461538;0.6717948717948717;0.735897435897436;0.7666666666666667;0.5512820512820513;0.48717948717948717;0.8051282051282052;0.825641026;0.7128205128205128
CricketZ;0.39487179487179486;0.32051282051282054;0.37948717948717947;0.4641025641025641;0.3282051282051282;0.6076923076923076;0.6564102564102564;0.5435897435897435;0.587179487;0.753846154;0.735897436;0.556410256;0.605128205;0.733333333;0.741025641;0.764102564;0.735897436;0.617948718;0.761538462;0.7743589743589744;0.774358974;0.728205128;0.7871794871794872;0.7410256410256411;0.464103;0.5358974358974359;0.7076923076923077;0.7461538461538462;0.6717948717948717;0.7153846153846154;0.7538461538461538;0.6307692307692307;0.5743589743589743;0.782051282051282;0.815384615;0.7307692307692307
DiatomSizeReduction;0.8790849673202614;0.7156862745098039;0.954248366013072;0.9477124183006536;0.9411764705882353;0.8725490196078431;0.8725490196078431;0.9640522875816994;0.934640523;0.967320261;0.934640523;0.934640523;0.91503268;0.934640523;0.941176471;0.947712418;0.947712418;0.934640523;0.967320261;0.9673202614379085;0.91503268;0.934640523;0.9248366013071896;0.9803921568627451;0.866013;0.9215686274509803;0.8823529411764706;0.9313725490196079;0.9313725490196079;0.8986928104575164;0.9052287581699346;0.8888888888888888;0.8725490196078431;0.9444444444444444;0.928104575;0.934640522875817
DistalPhalanxOutlineCorrect;0.6739130434782609;0.7572463768115942;0.6630434782608695;0.7644927536231884;0.7282608695652174;0.782608695652174;0.7572463768115942;0.822463768115942;0.717391304;0.717391304;0.724637681;0.731884058;0.713768116;0.710144928;0.742753623;0.735507246;0.739130435;0.710144928;0.717391304;0.7318840579710145;0.724637681;0.768115942;0.7753623188405797;0.7789855072463768;0.75;0.7137681159420289;0.7282608695652174;0.7282608695652174;0.7717391304347826;0.782608695652174;0.7210144927536232;0.7608695652173914;0.7246376811594203;0.7282608695652174;0.760869565;0.7355072463768116
DistalPhalanxOutlineAgeGroup;0.7266187050359713;0.6906474820143885;0.7122302158273381;0.6690647482014388;0.7338129496402878;0.7697841726618705;0.7482014388489209;0.8057553956834532;0.625899281;0.769784173;0.625899281;0.676258993;0.690647482;0.676258993;0.73381295;0.741007194;0.712230216;0.64028777;0.697841727;0.7050359712230215;0.661870504;0.683453237;0.7697841726618705;0.7194244604316546;0.654676;0.6906474820143885;0.841726618705036;0.7482014388489209;0.7482014388489209;0.7122302158273381;0.6690647482014388;0.7122302158273381;0.7050359712230215;0.6906474820143885;0.748201439;0.6330935251798561
DistalPhalanxTW;0.6402877697841727;0.6258992805755396;0.7050359712230215;0.6258992805755396;0.6618705035971223;0.7050359712230215;0.7050359712230215;0.6258992805755396;0.633093525;0.589928058;0.633093525;0.589928058;0.589928058;0.669064748;0.633093525;0.64028777;0.633093525;0.589928058;0.604316547;0.6115107913669064;0.575539568;0.669064748;0.6618705035971223;0.6258992805755396;0.625899;0.697841726618705;0.60431654676259;0.6762589928057554;0.6690647482014388;0.6762589928057554;0.5683453237410072;0.6906474820143885;0.6762589928057554;0.6474820143884892;0.697841727;0.6258992805755396
Earthquakes;0.6690647482014388;0.697841726618705;0.6402877697841727;0.7410071942446043;0.5683453237410072;0.7482014388489209;0.7482014388489209;0.697841726618705;0.712230216;0.71942446;0.726618705;0.676258993;0.676258993;0.683453237;0.726618705;0.690647482;0.676258993;0.676258993;0.726618705;0.7050359712230215;0.705035971;0.748201439;0.7410071942446043;0.7410071942446043;0.705036;0.7410071942446043;0.7482014388489209;0.7482014388489209;0.7482014388489209;0.7482014388489209;0.6402877697841727;0.7482014388489209;0.7482014388489209;0.7410071942446043;0.748201439;0.7194244604316546
ECG200;0.77;0.8;0.81;0.85;0.75;0.79;0.85;0.79;0.88;0.77;0.88;0.83;0.89;0.88;0.89;0.91;0.89;0.88;0.88;0.83;0.84;0.81;0.83;0.88;0.81;0.83;0.85;0.87;0.87;0.84;0.86;0.82;0.86;0.88;0.88;0.89
ECG5000;0.8835555555555555;0.8986666666666666;0.9384444444444444;0.9262222222222222;0.8528888888888889;0.9346666666666666;0.9457777777777778;0.9328888888888889;0.924888889;0.924444444;0.925111111;0.919555556;0.920666667;0.932222222;0.929555556;0.931777778;0.927111111;0.922;0.924888889;0.9235555555555556;0.923555556;0.938222222;0.9437777777777778;0.9322222222222222;0.922667;0.9117777777777778;0.9104444444444444;0.9413333333333334;0.9388888888888889;0.9395555555555556;0.9171111111111111;0.9097777777777778;0.9355555555555556;0.9386666666666666;0.946;0.9266666666666666
ECGFiveDays;0.7967479674796748;0.7212543554006968;0.975609756097561;0.9721254355400697;0.7804878048780488;0.7212543554006968;0.908246225319396;0.9163763066202091;0.796747967;0.767711963;0.796747967;0.68641115;0.695702671;0.806039489;0.794425087;0.890824623;0.829268293;0.692218351;0.795586527;0.7688734030197445;0.822299652;0.974448316;0.983739837398374;1.0;0.997677;0.9872241579558653;0.9547038327526133;1.0;0.9558652729384437;0.8768873403019745;0.8792102206736353;0.9814169570267132;1.0;0.8199767711962834;0.99883856;0.7816492450638792
